Engine_Speed,Fuel_Flow,Intake_Manifold_Pressure,Coolant_Temp,Ambient_Temp,Engine_Performance
2265,40.04,1.41,104,30,185.57
2150,18.0,1.89,96,14,163.63
1900,33.87,2.78,71,37,229.89
2264,26.38,1.26,80,39,145.11
1291,34.36,2.65,91,32,212.98
2874,41.61,1.74,78,28,202.72
2546,20.26,1.39,73,15,147.54
1912,31.04,2.88,110,31,234.32
2318,35.12,1.57,103,10,193.38
997,48.0,1.79,82,31,190.65
1233,33.82,2.05,104,19,191.12
961,44.52,2.82,108,17,230.13
2235,42.73,1.67,99,23,205.13
1685,40.91,2.57,70,19,234.47
2096,20.66,1.02,77,34,119.92
2771,20.97,1.68,105,27,170.92
941,17.3,1.53,84,30,128.02
2334,38.6,1.16,92,24,162.23
936,34.75,1.63,92,28,155.82
1292,41.72,1.33,101,34,167.07
2630,22.36,1.06,94,15,154.3
819,24.95,1.64,84,22,132.49
2793,37.71,1.95,75,40,204.82
672,33.2,2.38,105,19,187.68
2438,10.46,2.46,100,24,190.43
2286,33.39,2.57,94,39,223.65
1655,49.84,1.5,80,38,182.14
1481,36.51,2.62,87,28,222.81
1263,27.41,2.28,70,36,183.84
1764,43.3,2.96,79,26,250.08
1836,47.58,1.62,80,18,197.49
1519,47.53,1.86,99,40,204.06
1176,42.79,1.69,76,29,182.21
2332,28.92,2.11,87,27,191.56
1887,43.65,2.72,83,20,246.54
1821,31.67,1.95,77,35,177.54
2009,17.36,2.67,77,37,202.21
986,15.54,1.97,96,15,153.09
1486,15.82,2.11,105,31,172.48
1233,39.46,2.48,97,26,212.77
731,14.76,1.84,90,31,129.83
1219,39.99,2.08,99,36,187.42
1592,26.22,2.19,95,24,180.57
1278,28.54,1.58,101,17,163.28
1475,48.59,2.21,70,12,209.42
2198,32.96,2.06,91,25,192.83
611,10.5,1.2,106,39,80.72
2897,10.9,1.77,73,31,158.64
2661,30.96,1.69,102,11,185.55
2579,47.58,2.03,101,13,235.85
690,49.68,2.97,88,33,233.84
1389,14.49,1.5,102,35,133.8
1682,22.15,2.8,109,37,210.8
2719,33.36,2.13,93,15,221.59
1039,13.62,1.44,109,39,121.8
2663,44.93,2.91,97,39,273.44
1023,19.27,1.43,71,22,124.77
2867,37.08,2.61,71,36,251.41
2168,43.84,2.59,71,39,247.74
1348,34.34,1.59,75,18,154.68
2334,42.77,1.28,79,34,175.98
2220,21.82,1.69,79,29,166.73
1914,47.6,1.12,78,40,165.98
1171,18.53,1.08,94,24,109.01
732,14.71,1.8,98,25,135.61
1650,41.58,1.45,71,37,158.59
1549,23.04,1.81,98,31,159.29
824,24.22,1.12,94,34,105.08
856,25.76,2.85,90,13,201.37
732,35.41,1.33,104,30,140.97
1144,29.91,1.24,107,13,134.69
2421,30.57,1.07,104,37,144.45
988,29.03,1.86,103,20,167.45
1958,29.69,1.93,100,10,192.58
2812,39.89,1.5,92,30,192.67
865,31.1,2.22,87,31,182.24
2093,14.5,2.83,90,19,220.06
2298,44.57,1.23,90,18,180.63
768,31.12,2.2,89,28,166.36
1144,47.3,2.25,92,17,220.4
2061,36.52,2.11,81,15,215.72
1392,32.13,1.7,73,20,166.5
1276,13.42,2.04,83,12,147.01
2116,37.32,1.16,97,33,155.34
2488,36.86,1.99,85,13,212.95
2023,33.57,2.97,93,25,244.81
1183,20.51,2.94,101,28,214.56
2863,41.65,2.38,103,29,234.47
1123,16.81,2.04,76,31,157.51
1572,16.45,1.56,92,20,130.74
1799,17.97,1.22,108,37,129.81
2005,36.18,2.82,99,21,244.92
1299,42.48,2.72,89,10,223.95
1624,38.52,2.37,77,27,210.28
2342,21.1,2.18,107,27,185.32
2513,41.4,2.57,94,15,249.3
1745,24.17,1.26,90,20,141.25
2870,45.76,1.86,108,22,229.42
1285,12.06,2.26,82,24,156.61
2383,26.93,1.53,98,18,172.12
948,42.82,2.92,70,17,232.03
1385,36.23,2.64,84,10,225.89
1022,23.59,1.1,100,38,118.55
651,29.8,2.63,108,17,188.68
759,46.76,1.89,102,30,192.22
2036,20.91,1.58,103,15,154.61
1551,21.84,1.63,86,23,156.77
1754,42.63,1.62,107,13,179.96
1533,37.35,2.35,109,13,217.4
877,31.36,1.16,108,34,128.5
981,17.11,2.45,71,13,167.4
1612,28.12,1.73,77,39,170.28
1145,25.92,2.81,86,28,199.53
750,41.29,1.68,99,20,164.06
1416,14.83,2.15,77,40,148.99
2191,15.09,1.91,91,20,173.17
2914,44.46,2.71,108,29,257.06
1399,42.48,1.73,90,32,173.84
2950,33.55,1.4,88,37,172.79
1815,27.79,2.94,91,35,219.28
1235,43.91,2.64,85,12,221.51
1759,28.76,2.64,89,22,218.01
2193,46.81,1.21,71,15,187.84
1529,40.96,2.62,97,35,228.22
2918,11.3,1.76,93,27,158.1
2958,42.36,2.18,70,13,235.4
2795,47.38,1.1,84,14,194.53
1221,23.05,1.09,88,36,116.95
2573,29.54,2.81,92,27,244.37
2579,44.25,1.75,77,36,204.15
1988,29.4,1.96,110,22,194.72
2390,33.03,1.91,92,26,188.77
2160,19.85,1.19,92,23,146.47
2904,29.88,1.6,83,25,186.56
1716,41.76,1.99,90,20,191.69
2364,17.86,2.88,90,11,228.65
1423,48.11,1.77,109,30,190.32
1249,40.66,1.8,82,35,170.31
1033,36.97,1.4,97,39,143.85
789,24.74,1.17,106,37,123.05
1592,42.75,2.47,82,22,214.82
1799,34.36,2.57,97,15,215.62
1690,35.27,1.07,74,19,136.38
2873,46.28,2.99,103,18,280.08
2411,40.56,1.55,70,19,184.34
1976,43.6,2.9,87,23,258.54
691,26.83,2.61,70,37,190.12
1069,25.92,2.19,86,11,183.19
1394,19.87,1.49,90,11,142.15
849,39.75,2.81,106,17,229.41
2725,46.17,2.89,92,17,280.08
2934,30.77,2.67,70,38,243.42
1831,38.27,2.89,91,32,234.55
2888,33.45,1.47,70,30,190.42
2883,14.24,1.03,90,21,126.55
2239,17.04,2.1,108,21,188.87
2217,26.88,1.92,74,27,191.07
2535,22.74,1.84,102,29,183.99
1590,31.99,2.14,91,40,185.42
940,38.6,1.74,105,25,163.55
2059,16.92,2.43,77,37,195.37
678,19.08,1.2,95,14,107.13
754,48.78,2.55,83,12,222.77
1076,38.79,1.54,98,37,153.28
2594,36.4,1.14,106,29,162.8
1597,28.58,1.6,74,23,159.9
2105,26.33,1.72,74,27,161.51
864,13.95,2.19,107,11,147.27
2313,26.09,2.36,75,37,202.51
2582,45.43,1.67,87,39,203.37
1881,35.38,2.99,101,19,240.07
717,31.81,1.58,82,13,151.24
1926,14.44,2.82,97,35,213.18
1841,32.46,2.54,110,32,209.95
2795,32.44,1.58,71,28,181.34
1252,44.95,2.31,75,10,209.54
1782,10.17,1.5,94,39,118.35
840,15.91,2.2,75,26,151.78
2470,21.23,2.88,78,20,227.22
2684,18.86,1.85,110,34,178.86
2166,13.8,2.9,79,38,206.77
756,38.42,1.09,90,33,132.38
1597,23.76,1.67,103,35,157.54
2300,13.01,2.42,82,21,191.12
823,34.81,2.26,99,17,186.72
767,27.74,2.46,99,12,182.51
1691,33.89,2.83,103,12,230.03
670,45.32,1.43,110,32,158.18
2141,16.5,1.29,89,12,147.94
928,34.74,1.83,109,30,164.7
2431,28.05,1.02,79,27,152.82
634,26.47,2.12,107,22,164.55
1060,22.04,1.14,75,30,104.83
1186,33.61,2.32,71,19,192.0
1898,26.77,1.68,108,37,170.49
2289,10.1,2.34,100,38,178.86
1888,19.41,1.03,108,39,113.96
2377,28.8,2.9,84,12,242.15
2441,36.3,1.96,110,35,207.54
1204,16.2,2.53,108,10,174.62
1568,11.7,2.34,90,23,170.25
1751,37.93,2.99,87,22,247.83
2937,13.33,1.14,79,24,137.14
947,38.76,2.1,72,40,183.71
1158,29.09,1.95,70,25,166.86
734,11.18,1.87,98,23,139.3
2156,13.24,2.64,100,10,206.43
1224,46.11,2.67,94,38,228.46
1450,28.66,1.31,92,39,144.39
2474,25.5,1.47,84,17,160.16
1744,24.64,1.53,100,36,159.61
1609,35.81,1.96,85,34,193.11
726,49.73,2.0,98,30,202.35
1412,20.81,2.8,85,14,202.34
2984,17.84,1.86,72,37,179.35
2161,48.15,1.25,105,29,184.31
1163,32.07,1.5,73,18,157.84
1570,27.63,2.1,92,26,182.29
2819,17.83,2.77,75,24,223.64
2516,33.88,1.85,89,30,190.96
1779,13.03,2.11,96,32,161.61
1880,16.05,2.49,75,31,192.41
2484,21.76,2.29,101,40,200.46
2991,48.07,1.11,104,13,204.07
2175,23.4,1.92,77,39,171.88
2017,40.39,1.83,75,27,201.57
2928,12.05,2.53,98,16,212.08
1637,47.97,1.37,73,36,170.53
1436,44.69,2.4,70,35,219.57
2564,44.93,2.4,91,34,246.57
871,48.02,1.83,107,14,183.82
1510,46.1,1.26,71,23,167.19
1749,30.36,1.82,94,33,179.22
1588,22.86,2.76,88,38,210.29
652,26.92,1.78,96,12,142.08
1256,41.76,1.61,98,39,174.37
2497,21.57,1.76,78,21,180.18
2938,38.25,2.74,101,13,267.16
994,34.41,1.3,110,22,146.22
2734,39.23,2.83,90,40,262.45
1583,38.15,2.73,99,34,237.75
2621,44.62,1.36,89,28,192.59
1345,21.34,3.0,93,23,221.19
2012,26.1,1.72,105,19,180.18
1018,19.34,1.59,106,31,139.67
1500,19.72,1.27,96,36,115.24
2603,48.45,2.86,89,21,270.28
2478,27.24,2.65,104,10,240.84
2302,38.48,1.57,109,36,186.27
2111,48.82,1.13,85,25,168.81
2362,17.38,2.45,97,25,196.39
2015,48.5,1.9,75,20,207.77
2378,23.62,2.8,104,11,225.61
1370,48.51,1.09,77,34,146.97
2693,41.72,1.66,108,21,205.48
842,39.74,1.22,79,39,137.89
2532,37.05,2.29,82,28,221.64
2929,22.36,2.1,107,27,202.22
1666,16.96,1.35,73,13,122.81
2493,30.9,1.85,95,24,201.49
2264,17.44,2.62,95,22,212.15
1312,17.49,2.21,77,18,170.21
2112,29.86,2.58,100,16,227.31
2797,46.23,2.36,100,20,254.51
1749,15.03,2.14,81,25,161.79
1412,19.49,2.13,75,14,168.2
2103,42.79,1.27,102,39,171.54
1736,44.49,1.69,83,31,190.83
1759,24.01,2.72,76,27,202.88
2908,16.85,2.96,90,28,243.22
2447,31.9,2.94,107,40,243.2
2992,42.73,1.63,90,24,215.45
677,44.6,1.93,101,35,172.41
1022,48.79,1.3,96,35,168.18
1474,41.94,1.83,71,34,187.6
2629,45.72,2.72,94,21,259.2
1756,49.32,1.93,95,15,202.78
1338,43.85,1.72,102,26,176.62
2614,28.47,2.9,85,18,241.9
1769,28.79,2.53,88,28,210.53
1255,20.32,2.06,109,19,163.11
2734,12.63,1.39,87,26,142.44
1964,33.76,1.45,109,30,160.41
1762,17.47,2.01,82,13,159.7
2295,44.76,2.55,95,38,235.05
1462,26.38,1.14,72,11,132.71
1139,49.45,2.62,90,26,236.28
2698,15.91,1.55,103,34,157.33
831,42.9,1.52,100,27,157.95
2538,29.05,2.48,99,20,229.27
909,40.61,1.01,82,19,141.17
2726,42.09,2.29,93,11,230.94
2267,38.8,1.38,70,11,170.85
2757,31.45,1.06,83,17,156.41
966,36.71,2.25,93,24,193.43
2290,36.23,2.65,92,28,226.85
2904,11.52,2.14,95,33,190.48
1545,25.29,1.17,92,40,127.34
842,47.92,2.63,110,17,219.54
1135,29.18,1.15,73,18,129.98
2874,44.05,1.99,105,24,234.0
1498,46.28,2.64,86,18,233.71
2534,48.78,2.41,75,24,251.26
2294,19.62,2.91,77,30,214.2
1576,33.45,2.51,109,34,203.74
2294,24.02,2.8,98,25,235.06
1453,11.94,2.46,81,17,164.94
2981,22.98,2.59,78,17,223.01
2773,33.93,2.34,85,24,227.98
2654,17.2,1.84,102,23,170.1
2777,28.03,2.39,108,26,220.01
1941,44.87,1.62,103,28,183.63
1811,13.62,1.78,85,34,142.17
1547,15.62,2.55,73,33,187.58
2964,22.22,1.7,96,15,176.98
1951,17.11,1.22,77,17,120.7
2443,39.89,1.76,102,20,199.77
1409,27.88,2.12,92,33,182.6
1469,15.63,1.4,73,37,124.26
1875,23.04,2.97,100,22,219.47
1476,14.07,1.88,89,36,141.27
1884,43.42,1.94,79,25,208.71
2594,23.72,2.77,86,29,219.89
2730,21.74,2.92,83,38,227.72
2666,12.79,2.22,71,34,178.78
2483,23.18,2.07,100,15,192.61
2048,41.51,1.31,75,12,180.07
1957,34.64,2.17,102,40,192.75
2807,12.15,2.45,88,16,194.61
2327,34.52,2.73,106,11,235.2
2586,43.72,1.81,87,22,206.41
1687,20.82,1.09,86,27,122.2
2253,41.44,1.34,74,40,183.14
1148,11.28,2.02,80,22,149.79
829,34.38,1.59,95,10,164.58
1298,41.08,1.02,99,39,139.8
606,11.49,1.35,78,13,103.78
2453,21.82,2.19,98,12,200.33
2235,48.3,2.27,96,33,239.63
1215,12.48,2.89,99,11,185.51
1382,45.89,2.93,97,10,241.73
1340,16.54,1.51,71,40,132.1
1268,31.74,2.52,78,34,196.22
1567,11.88,2.34,81,34,173.46
1962,18.7,2.04,102,18,174.4
922,31.27,2.19,86,32,183.61
2812,42.04,1.05,87,19,167.27
851,46.86,1.37,70,40,154.46
1997,16.09,1.72,77,15,149.39
793,39.59,1.36,86,24,154.82
1293,18.41,2.0,94,22,152.39
2203,45.51,2.54,105,33,233.14
2326,31.2,2.78,82,39,234.13
1183,21.7,1.73,76,11,145.56
2172,20.75,2.73,75,23,214.74
1968,44.5,1.97,98,10,204.88
2235,45.07,1.73,77,30,196.34
2125,21.64,2.89,88,11,226.33
638,17.19,1.79,85,17,143.26
1819,32.83,1.55,83,28,163.38
1644,20.13,2.31,91,13,179.72
870,47.77,2.87,81,21,242.02
1218,15.43,1.9,101,15,145.67
837,35.2,1.14,107,21,134.14
604,19.11,2.06,101,23,146.78
1649,26.1,1.86,91,28,167.12
629,19.64,2.14,97,19,148.96
2114,16.16,2.85,89,17,208.46
1558,35.37,2.46,83,27,211.03
1383,11.53,2.18,74,15,159.88
2166,25.34,2.04,101,22,179.78
656,18.91,1.33,87,10,117.48
1863,28.27,2.43,109,11,204.11
905,22.26,1.45,102,32,133.62
1591,34.9,2.04,102,16,194.11
1681,37.67,2.95,93,27,251.61
637,27.76,2.35,88,13,184.48
1989,35.79,1.96,84,27,187.52
1551,29.45,1.05,81,11,129.29
2810,37.07,2.5,83,15,240.54
1686,38.41,2.84,90,27,236.55
745,29.5,2.31,79,30,177.53
1458,29.51,1.85,87,37,175.77
2242,32.4,1.83,102,12,185.14
1189,37.93,1.34,98,39,157.94
852,39.45,2.67,86,22,218.94
2306,18.11,1.61,82,15,152.58
659,25.67,1.77,104,11,144.17
1803,35.77,2.11,90,13,201.23
2893,45.51,1.68,70,33,207.83
1353,37.42,1.37,105,37,163.69
1147,29.39,1.77,96,33,161.39
2832,27.2,1.9,106,17,199.03
750,36.09,1.68,74,20,156.2
620,37.16,1.01,96,22,122.32
2035,19.46,1.33,89,28,131.33
1712,29.04,2.09,110,32,195.22
2175,48.05,1.76,95,12,202.03
956,27.63,2.25,107,32,185.29
624,16.57,2.85,73,37,184.48
1208,23.94,1.81,110,13,167.03
629,32.42,1.12,94,20,119.91
1602,10.45,1.5,98,14,139.67
722,22.93,2.76,110,24,197.54
935,24.53,1.51,74,31,123.72
2433,25.11,2.73,93,16,228.8
1413,15.25,2.76,75,33,197.77
1801,12.0,1.01,73,14,111.21
1209,41.15,1.24,109,16,149.93
878,15.33,1.65,107,15,138.66
982,33.51,1.91,78,21,163.64
2368,10.44,2.01,73,36,166.42
1190,21.58,2.02,98,29,164.43
1648,20.1,2.23,109,27,172.39
1169,34.02,1.2,88,29,139.62
1109,44.42,2.11,98,15,209.42
1648,40.31,1.84,88,39,195.78
2603,20.79,1.92,71,20,188.56
1855,11.92,2.4,104,12,179.4
1896,11.35,1.6,72,17,146.6
1342,47.67,2.7,75,13,236.9
1144,24.59,2.95,70,28,210.78
2951,42.67,2.16,107,29,230.31
2593,44.97,2.84,95,15,263.12
2251,38.27,1.59,108,33,190.55
1571,48.21,1.69,77,17,198.79
1416,20.93,2.17,94,23,178.81
1245,11.64,1.47,77,20,125.18
965,46.11,1.06,78,39,135.99
2431,19.35,2.49,78,11,201.94
2555,47.31,1.87,99,22,229.41
1023,28.93,2.35,85,20,183.59
2681,41.9,2.46,106,37,236.61
1721,39.66,2.78,103,20,241.91
1499,38.44,2.56,94,17,216.85
1207,25.75,2.05,93,39,157.86
1759,45.89,1.54,73,33,190.89
2922,26.8,2.45,75,29,226.98
1567,47.91,1.97,95,13,206.64
946,28.86,2.67,88,14,198.32
1072,31.99,2.63,96,21,198.75
1717,46.83,1.56,72,12,191.0
2681,48.23,2.08,79,28,239.24
1659,29.07,1.27,89,12,150.53
1319,16.86,1.38,80,37,129.17
1867,41.21,2.63,91,23,226.45
1094,36.98,2.61,71,19,213.18
2828,33.3,2.82,99,17,262.9
1388,43.74,1.37,72,32,168.76
1749,23.48,1.92,87,37,174.14
1458,39.34,2.99,89,12,245.41
1151,28.05,1.68,90,17,156.35
2976,20.78,1.1,93,40,144.24
1058,45.17,2.53,102,29,218.15
2920,11.41,1.47,82,14,159.61
2458,42.61,1.37,73,35,172.94
1928,49.38,1.36,71,23,179.89
1369,38.25,2.28,93,31,206.16
2308,24.75,1.69,70,16,169.87
2029,35.33,2.81,107,25,244.94
1193,18.39,1.37,77,25,117.84
2327,14.91,1.15,110,31,125.2
1594,22.98,1.37,75,20,142.36
2212,43.54,1.13,103,32,172.98
2729,11.98,2.08,78,26,171.07
2910,21.1,2.57,86,34,212.51
1968,19.31,2.48,101,25,192.53
2066,35.0,2.78,109,13,232.13
2568,22.17,2.31,95,11,199.44
2762,39.94,2.05,107,24,228.17
2427,26.04,1.46,93,35,166.68
1255,39.32,2.27,80,24,194.21
1898,18.63,2.04,93,13,171.92
2190,26.73,2.86,94,17,241.53
1059,48.47,2.2,78,29,203.88
1008,40.71,2.65,75,15,214.34
1718,43.79,1.09,101,10,159.62
2129,40.73,2.6,101,18,231.59
1355,36.54,2.38,105,22,214.62
2836,46.23,2.52,95,26,246.47
1077,42.66,2.45,86,26,209.98
873,36.06,2.67,92,29,207.41
1171,34.97,1.04,83,17,136.56
2344,49.36,2.28,87,29,240.08
1625,48.7,2.53,92,28,239.44
2839,19.0,1.4,96,33,150.46
2183,11.41,2.2,74,22,177.98
1663,15.52,2.38,88,24,182.4
1160,49.9,2.16,99,17,220.03
1362,10.82,2.88,80,14,191.85
2771,16.36,1.06,96,32,127.72
2659,49.25,2.15,80,10,243.77
1246,40.58,1.76,87,23,187.48
2892,30.48,1.94,87,17,209.96
2408,40.89,2.28,87,16,231.18
1846,31.16,2.07,71,18,186.65
2137,38.12,1.51,98,13,179.92
2627,13.78,1.53,81,30,143.04
